	#	rad	RA	Dec	Plx	e	pmRA	e.1	pmDE	e.2	RUWE	Gmag	e.3	BPmag	e.4	RPmag	e.5	RVDR2	e.6	Tefftemp	loggtemp	dist	RAs	Decs	Ns	Nd	Ng	Nr	Ni	Nz	Ny	gmag	rmag	imag	zmag	ymag
14	1.3828	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0213	0.294	10.0	0.299	20.3127	19.546389	0.004269	19.241	0.121672	18.4692	0.02847	17.9269	99.99		99.9		312.75144248	44.34364256	0.0066	51.0	3.0	14.0	15.0	11.0	8.0	21.9896	0.0947	0.0344	0.0151	0.0154	0.0141
15	1.3887	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0169	0.294	15.0	0.299	21.253	19.546389	0.004269	20.4269	0.121672	19.6602	0.02847	18.93	99.99		99.9		312.72918908	44.34893938	0.0137	33.0	0.0	3.0	13.0	9.0	8.0	999.9999	99.9999	0.0916	0.0247	0.0182	0.0997
16	1.4157	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0107	0.294	5.0	0.299	19.5282	19.546389	0.004269	18.234	0.121672	17.4511	0.02847	16.8721	99.99		99.9		312.76142883	44.34453178	0.0035	58.0	12.0	11.0	15.0	11.0	9.0	21.4114	0.0491	0.0161	0.0078	0.0075	0.0073
17	1.4217	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0384	0.294	4.0	0.299	99.9999	19.546389	0.004269	21.2841	0.121672	20.3599	0.02847	19.6569	99.99		99.9		312.75127133	44.34298897	0.0384	6.0	0.0	0.0	3.0	2.0	1.0	999.9999	99.9999	99.9999	0.0095	0.0839	0.1236
18	1.4376	312.8627924158662	44.3487278029122	0.4648	0.2887	0.042	0.294	12.0	0.299	99.9999	19.546389	0.004269	21.422	0.121672	20.6338	0.02847	20.1464	99.99		99.9		312.72770997	44.34877477	0.0339	15.0	0.0	0.0	7.0	5.0	3.0	999.9999	99.9999	99.9999	0.0566	0.0807	0.0
19	1.4489	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0402	0.294	6.0	0.299	25.319	19.546389	0.004269	21.75	0.121672	20.4702	0.02847	19.4213	99.99		99.9		312.73001038	44.34720266	0.0346	16.0	0.0	0.0	1.0	7.0	8.0	29.211	99.9999	99.9999	0.1397	0.0315	0.0602
20	1.4731	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0934	0.294	6.0	0.299	99.9999	19.546389	0.004269	21.8817	0.121672	21.1859	0.02847	99.9999	99.99		99.9		312.72871465	44.34740165	0.0934	3.0	0.0	0.0	2.0	1.0	0.0	999.9999	99.9999	99.9999	0.0337	0.17	99.9999
21	1.4814	312.8627924158662	44.3487278029122	0.4648	0.2887	0.009	0.294	10.0	0.299	18.3705	19.546389	0.004269	16.9475	0.121672	16.0263	0.02847	15.3745	99.99		99.9		312.74947793	44.34197891	0.0041	58.0	10.0	12.0	15.0	11.0	10.0	20.5221	0.0604	0.01	0.0055	0.0028	0.0027
22	1.4833	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0112	0.294	10.0	0.299	17.1008	19.546389	0.004269	16.3211	0.121672	15.7945	0.02847	15.3588	99.99		99.9		312.77357954	44.34858505	0.0096	61.0	13.0	14.0	15.0	11.0	8.0	18.3534	0.0043	0.0034	0.0035	0.0023	0.0036
23	1.4937	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0594	0.294	8.0	0.299	99.9999	19.546389	0.004269	21.4494	0.121672	20.9967	0.02847	99.9999	99.99		99.9		312.73682759	44.34362185	0.0594	6.0	0.0	0.0	3.0	3.0	0.0	999.9999	99.9999	99.9999	0.1856	0.0331	99.9999
24	1.4965	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0085	0.294	10.0	0.299	17.7895	19.546389	0.004269	17.0209	0.121672	16.5211	0.02847	16.0937	99.99		99.9		312.74120676	44.34253101	0.0032	54.0	10.0	12.0	13.0	10.0	9.0	18.9563	0.0122	0.0103	0.0065	0.0053	0.0052
25	1.5351	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0182	0.294	10.0	0.299	20.5083	19.546389	0.004269	19.0525	0.121672	18.0495	0.02847	17.4039	99.99		99.9		312.73783703	44.34260471	0.0115	43.0	1.0	9.0	14.0	10.0	9.0	22.3097	0.1889	0.0198	0.0081	0.0114	0.0005
