#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 1.7165  312.8921048217222  +44.3261602085222      0.7732  0.6227      0.427  0.729     -4.172  0.591     1.067  20.364160  0.007111  21.353650  0.201546  19.080215  0.041432  9999.99 99.99   9999.9     99.9
 1.7210  312.9010305996511  +44.3364295548040     -1.4670  0.5483     -1.672  0.615     -3.925  0.611     1.060  20.394450  0.006954  21.283072  0.178950  18.764643  0.032719  9999.99 99.99   9999.9     99.9
 1.7378  312.8239749401656  +44.3532083773878      0.7849  0.7993      0.255  0.847     -1.759  0.828     1.142  20.510250  0.008403  21.479816  0.139126  19.169607  0.049723  9999.99 99.99   9999.9     99.9
 1.7497  312.9014775298980  +44.3559440427837      0.3123  0.4458     -3.330  0.484     -4.274  0.473     1.038  20.101591  0.005568  20.822908  0.230312  18.838646  0.032254  9999.99 99.99   9999.9     99.9
 1.7560  312.8886473030159  +44.3688579754385      0.9056  0.1199     -5.944  0.123     -9.721  0.132     1.010  18.317130  0.003159  19.634031  0.045187  17.145594  0.008820  9999.99 99.99   9999.9     99.9
 1.7643  312.8262545765576  +44.3588405194678     -2.6194  1.2827     -3.646  1.155     -5.445  1.267     1.134  20.904724  0.028250  21.915981  0.261262  19.429080  0.106556  9999.99 99.99   9999.9     99.9
 1.7663  312.8358341809245  +44.3679106867026      1.2866  0.6118     -2.066  0.671     -3.027  0.709     1.122  20.357626  0.006968  21.037567  0.156064  19.084260  0.046187  9999.99 99.99   9999.9     99.9
 1.7668  312.9033288773960  +44.3392667493038      1.0742  0.5895     -8.733  0.564     -7.647  0.693     0.984  20.426691  0.006809  21.738910  0.179879  19.126150  0.034358  9999.99 99.99   9999.9     99.9
 1.7693  312.8967122517402  +44.3630765399694      0.5307  0.0354     -1.893  0.037     -5.400  0.040     0.943  16.089108  0.002822  17.319940  0.008120  14.988773  0.004085  9999.99 99.99   9999.9     99.9
 1.7900  312.8486263288177  +44.3179452191877      0.3740  0.1916     -0.613  0.198     -3.901  0.209     1.002  18.961520  0.003730  20.656246  0.100534  17.711730  0.015224  9999.99 99.99   9999.9     99.9
 1.7989  312.8708261311261  +44.3754238019952      0.4919  0.1851     -1.494  0.190    -12.824  0.195     0.991  19.096376  0.003657  20.677510  0.091197  17.890420  0.013019  9999.99 99.99   9999.9     99.9
 1.7991  312.8591254209752  +44.3757595162432     -0.9727  0.5031      1.022  0.593     -5.502  0.508     1.683  19.806114  0.006484  20.471659  0.199999  17.909603  0.057549  9999.99 99.99   9999.9     99.9
 1.8059  312.9007586186000  +44.3594310579300  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.014236  0.023656  22.284267  0.265003  19.356203  0.094074  9999.99 99.99   9999.9     99.9
 1.8154  312.8592644105098  +44.3760257311965      1.6874  0.6624     -0.809  0.832     -2.121  0.738     1.474  19.926645  0.009519  20.626549  0.142335  17.796976  0.044173  9999.99 99.99   9999.9     99.9
 1.8226  312.8479760761270  +44.3742715138801      0.3076  0.1015     -2.399  0.112     -4.129  0.113     0.941  18.038076  0.003093  19.146118  0.043762  16.906824  0.009149  9999.99 99.99   9999.9     99.9
